CO,AB,FACID,DIS,FNAME,FSTREET,FCITY,FZIP,FSIC,COID,DISN,CHAPIS,CERR_CODE,TOGT,ROGT,COT,NOXT,SOXT,PMT,PM10T,lat,lon
10,SJV,8526,SJU,DIAMOND WEST FARMS,1750 N SISKIYOU AVE,KERMAN,93630,723,FRE,SAN JOAQUIN VALLEY APCD,,,.003624359704040978941377347751849743881616,.003184,.006367,.06544,.0000813,.0134705562060889929742388758782201405152,.009881,36.7604495059589,-120.078027664938
10,SJV,432,SJU,DONAGHY SALES,4455 E CHURCH,FRESNO,93725,5181,FRE,SAN JOAQUIN VALLEY APCD,,,.0727132644628099173553719008264462809918,.07098,0,0,0,.003163541666666666666666666666666666666666,.003037,36.71502,-119.75095
10,SJV,431,SJU,DONALD P DICK AIR CONDITIONING,1444 N WHITNEY AVE,FRESNO,93703,1711,FRE,SAN JOAQUIN VALLEY APCD,,,.029824,.029824,0,0,0,0,0,36.76229,-119.73848
10,SJV,7957,SJU,DR. BOOTA CHAHIL,4800 E CLAYTON AVE,FOWLER,93625,7261,FRE,SAN JOAQUIN VALLEY APCD,,,.000870193006993006993006993006993006993007,.000622188,.002375625,.017534375,.000237563,.00049775,.00049775,36.64262,-119.70321
10,SJV,442,SJU,DUNCAN ENTERPRISES,5673 E SHIELDS AVE,FRESNO,93727,2851,FRE,SAN JOAQUIN VALLEY APCD,,,.000664769493454752418895845190665907797382,.000584,.000584,.00131,.00000106,.1669560889929742388758782201405152224824,.093544,36.78137,-119.69742
10,SJV,447,SJU,E & J GALLO WINERY,5610 E OLIVE AVE,FRESNO,93727,2084,FRE,SAN JOAQUIN VALLEY APCD,,,363.676740248380148502638193014535532752,338.146845714,2.173941452,3.153476536,.610726713,29.64428664014502857860687142767414107154,14.9422742,36.75567,-119.699
10,SJV,473,SJU,E-Z HAUL READY MIX,1538 N BLACKSTONE AVE,FRESNO,93703,3273,FRE,SAN JOAQUIN VALLEY APCD,,,0,0,0,0,0,1.980409235,.792163694,36.76387,-119.78999
10,SJV,448,SJU,EAGLE BUILDING MATERIALS,1407 N CLARK ST,FRESNO,93703,3299,FRE,SAN JOAQUIN VALLEY APCD,,,0,0,0,0,0,.108882375,.04355295,36.76199,-119.78664
10,SJV,937,SJU,EAGLE POWDER COATING,3188 N MARKS SUITE 105,FRESNO,93722,3479,FRE,SAN JOAQUIN VALLEY APCD,,,.002886363636363636363636363636363636363636,.00127,.0193,.023,.000138,.054875,.05275,36.78273,-119.84412
10,SJV,451,SJU,ECONOMY FORMS CORPORATION,3340 E CHURCH,FRESNO,93725,3479,FRE,SAN JOAQUIN VALLEY APCD,,,1.54545454545454545454545454545454545455,1.496,0,0,0,0,0,36.71278,-119.76746
10,SJV,450,SJU,ECONOMY STOCK & FEED,10508 E CENTRAL AVE,DEL REY,93616,2048,FRE,SAN JOAQUIN VALLEY APCD,,,.0008281161070005691519635742743312464428,.0007275,.0135645,.00774375,.0000265,.3232730214810627473148671565856416054269,.093804,36.67818,-119.59922
10,SJV,3511,SJU,EDUCATIONAL EMPL FEDERAL C U,2222 W SHAW AVE,FRESNO,93711,6062,FRE,SAN JOAQUIN VALLEY APCD,,,.002822993739328400682982356289129197495731,.00248,.0079,.1635535,.000079,.001116803278688524590163934426229508196721,.00109,36.80887,-119.83098
10,SJV,3527,SJU,EDUCATIONAL EMPLOYEES C.U.,3488 W SHAW AVE,FRESNO,93711,6062,FRE,SAN JOAQUIN VALLEY APCD,,,.00226522481502561183836084234490608992601,.00199,.00584,.0249,.0000273,.000658811475409836065573770491803278688525,.000643,36.809669,-119.854262
10,SJV,7221,SJU,EDWARDS FRESNO 21 & IMAX THEATRES,250 E PASEO DEL CENTRO,FRESNO,93720,7832,FRE,SAN JOAQUIN VALLEY APCD,,,.000486055776892430278884462151394422310757,.000427,.00493,.00691,.00000382,.000191495901639344262295081967213114754099,.0001869,36.84935,-119.78738
10,SJV,2068,SJU,EEZER PRODUCTS INC,4734 E HOME AVE,FRESNO,93703,3089,FRE,SAN JOAQUIN VALLEY APCD,,,3.82038203820382038203820382038203820382,3.82,0,0,0,0,0,36.76289,-119.73919
10,SJV,3418,SJU,ELECTRIC LIGHTWAVE LLC,7404 N WEBER ST,FRESNO,93722,4812,FRE,SAN JOAQUIN VALLEY APCD,,,.0222341568206229860365198711063372717508,.00207,.468772492,.00245,.0000306,.000439637826961770623742454728370221327968,.000437,36.8427791818338,-119.922573299999
10,SJV,7719,SJU,ELECTRONICS RECYCLERS INTERNATIONAL INC,"3243 S EAST AVE, STES 104 & 108",FRESNO,93706,5093,FRE,SAN JOAQUIN VALLEY APCD,,,0,0,0,0,0,.002429926,.001214963,36.6899522919263,-119.772777864973
10,SJV,3944,SJU,ELI LILLY AND COMPANY,3131 S WILLOW AVE,FRESNO,93725,5122,FRE,SAN JOAQUIN VALLEY APCD,,,.000827205463858850313033579965850882185543,.0007267,.002489,.05433,.00005289,.00057602459016393442622950819672131147541,.0005622,36.690072,-119.728563
10,SJV,454,SJU,ELLIOT MANUFACTURING CO.,2664 S CHERRY AVE,FRESNO,93706,3479,FRE,SAN JOAQUIN VALLEY APCD,,,0,0,0,0,0,0,0,36.70457,-119.78292
10,SJV,2933,SJU,"ELLIS, ELLIS & THOMASON",4270 N BLACKSTONE,FRESNO,93726,6011,FRE,SAN JOAQUIN VALLEY APCD,,,.00006659077973819009675583380762663631189528,.0000585,.000386,.00179,.000000933,.00004682377049180327868852459016393442622951,.0000457,36.79518,-119.78943
10,SJV,1967,SJU,EMERZIAN WOODWORKING,2555 N ARGYLE AVE,FRESNO,93727,2431,FRE,SAN JOAQUIN VALLEY APCD,,,.0463404794836330106039649608114338404795,.040205,0,0,0,.7946811566666666666666666666666666666667,.328430796,36.77372,-119.69507
10,SJV,8315,SJU,EQUILON ENTERPRISES LLC,46370 W PANOCHE RD,FIREBAUGH,,5989,FRE,SAN JOAQUIN VALLEY APCD,,,0,0,0,0,0,0,0,36.6386,-120.62721
10,SJV,7155,SJU,EUROPEAN BLUFFS LP,POLK AVE,FRESNO,93720,6531,FRE,SAN JOAQUIN VALLEY APCD,,,.000214684120660216277746158224245873648264,.0001886,.00139,.00896,.00000876,.000193237704918032786885245901639344262295,.0001886,36.7974,-119.88934
10,SJV,3733,SJU,EVERGREEN CREMATION SERVICE OF CALIFORNIA,920 S PARALLEL AVE,FRESNO,93721,7261,FRE,SAN JOAQUIN VALLEY APCD,,,.0364497041420118343195266272189349112426,.00616,.0608,.0731,.0447,.1026666666666666666666666666666666666667,.0308,36.73298,-119.77445
10,SJV,6997,SJU,EXXONMOBIL REFINING & SUPPLY -GLOBAL REM,2801 BLOSSOM ST,DOS PALOS,93620,4959,FRE,SAN JOAQUIN VALLEY APCD,,,.539292766101694915254237288135593220339,.477274098,0,0,0,0,0,36.98547,-120.63979
10,SJV,476,SJU,FAENCAL TARTARIC PRODUCTS INC,2886 S MAPLE AVE,FRESNO,93725,2869,FRE,SAN JOAQUIN VALLEY APCD,,,0,0,0,0,0,.1428965517241379310344827586206896551724,.04144,36.69692,-119.74664
10,SJV,8266,SJU,FAREWELL FUNERAL SERVICE,4912 E ASHLAN AVE,FRESNO,93726,7261,FRE,SAN JOAQUIN VALLEY APCD,,,.3994082840236686390532544378698224852071,.0675,.064125,.0675,.05625,.525,.1575,36.7940895603879,-119.730720511938
10,SJV,2685,SJU,FEDERAL AVIATION ADMIN,5055 E ANDERSON AVE.  STE #1,FRESNO,93727,9621,FRE,SAN JOAQUIN VALLEY APCD,,,0,0,0,0,0,0,0,37.7897,-97.61933
10,SJV,3680,SJU,FEDERAL AVIATION ADMINISTRATION,I 5 & LITTLE PANOCHE RD,FIREBAUGH,93622,9199,FRE,SAN JOAQUIN VALLEY APCD,,,.4110199785177228786251342642320085929108,.03826596,.05949,.144352654,.0001617,.002320925553319919517102615694164989939638,.002307,36.77792,-120.72437
10,SJV,3969,SJU,FEDERAL AVIATION ADMINISTRATION,"LAT 37.06.16 LONG 119.35.40, FRA VOR",FRIANT,93626,9621,FRE,SAN JOAQUIN VALLEY APCD,,,.0219011815252416756176154672395273899033,.002039,.0508,.01296,.00002268,.00032605633802816901408450704225352112676,.0003241,,
10,SJV,3999,SJU,FEDERAL AVIATION ADMINISTRATION,"3228 N LEYTE AVE, FAT ASR-11",FRESNO,93727,4581,FRE,SAN JOAQUIN VALLEY APCD,,,.001434262948207171314741035856573705179283,.00126,.00209,.0151,.0000142,.00037192622950819672131147540983606557377,.000363,36.7406616210938,-119.785758972168
